,Atlanta Falcons,Carolina Panthers,Chicago Bears,Detroit Lions,Green Bay Packers,Minnesota Vikings,New Orleans Saints,New York Giants,Philadelpia Eagles,Tampa Bay Buccaneers,Washington Football Team,Baltimore Ravens,Buffalo Bills,Cincinnati Bengals,Cleveland Browns,Houston Texans,Indianapolis Colts,Jacksonville Jaguars,Miami Dolphins,New England Patroits,New York Jets,Pittsburgh Steelers,Tennessee Titans,Dallas Cowboys
Atlanta Falcons,0,245,717,722,922,1113,470,864,777,456,646,676,888,461,710,793,534,346,650,1063,864,685,250,793
Carolina Panthers,245,0,756,629,961,1163,715,625,537,580,407,437,651,462,515,1038,585,383,717,824,625,447,409,1026
Chicago Bears,717,756,0,284,207,409,925,787,758,1173,703,702,528,297,344,1082,184,1062,1367,982,787,460,472,967
Detroit Lions,722,629,284,0,489,691,1067,613,583,1178,529,528,270,263,170,1302,287,1010,1385,706,613,286,534,1187
Green Bay Packers,922,961,207,489,0,279,1130,993,964,1382,909,908,734,507,550,1287,394,1272,1578,1189,995,668,683,1173
Minnesota Vikings,1113,1163,409,691,279,0,1199,1195,1165,1580,1111,1109,935,704,752,1176,591,1435,1774,1389,1195,868,879,940
New Orleans Saints,470,715,925,1067,1130,1199,0,1311,1124,657,1096,1122,1230,802,1051,348,819,546,851,1510,1311,1090,532,505
New York Giants,864,625,787,613,993,1195,1311,0,96,1131,223,189,355,662,456,1629,728,934,1268,204,0,364,886,1549
Philadelpia Eagles,777,537,758,583,964,1165,1124,96,0,1042,134,101,362,573,431,1547,643,846,1179,295,96,305,804,1467
Tampa Bay Buccaneers,456,580,1173,1178,1382,1580,657,1131,1042,0,911,941,1230,916,1094,981,990,199,267,1328,1129,1026,705,1103
Washington Football Team,646,407,703,529,909,1111,1096,223,134,911,0,34,388,513,379,1420,583,715,1048,422,222,252,677,1340
Baltimore Ravens,676,437,702,528,908,1109,1122,189,101,941,34,0,348,508,374,1446,578,751,1085,392,193,247,703,1366
Buffalo Bills,888,651,528,270,734,935,1230,355,362,1230,388,348,0,428,185,1477,494,1033,1367,461,359,211,700,1362
Cincinnati Bengals,461,462,297,263,507,704,802,662,573,916,513,508,428,0,250,1049,112,796,1111,840,641,288,273,934
Cleveland Browns,710,515,344,170,550,752,1051,456,431,1094,379,374,185,250,0,1297,315,896,1230,639,460,133,521,1183
Houston Texans,793,1038,1082,1302,1287,1176,348,1629,1547,981,1420,1446,1477,1049,1297,0,1014,870,1175,1834,1635,1336,779,239
Indianapolis Colts,534,585,184,287,394,591,819,728,643,990,583,578,494,112,315,1014,0,879,1183,929,733,359,288,900
Jacksonville Jaguars,346,383,1062,1010,1272,1435,546,934,846,199,715,751,1033,796,896,870,879,0,333,1131,932,829,595,992
Miami Dolphins,650,717,1367,1385,1578,1774,851,1268,1179,267,1048,1085,1367,1111,1230,1175,1183,333,0,1465,1266,1163,899,1297
New England Patroits,1063,824,982,706,1189,1389,1510,204,295,1328,422,392,461,840,639,1834,929,1131,1465,0,216,571,1085,1748
New York Jets,864,625,787,613,995,1195,1311,0,96,1129,222,193,359,641,460,1635,733,932,1266,216,0,371,891,1554
Pittsburgh Steelers,685,447,460,286,668,868,1090,364,305,1026,252,247,211,288,133,1336,359,829,1163,571,371,0,561,1223
Tennessee Titans,250,409,472,534,683,879,532,886,804,705,677,703,700,273,521,779,288,595,899,1085,891,561,0,664
Dalls Cowboys,793,1026,967,1187,1173,940,505,1549,1467,1103,1340,1366,1362,934,1183,239,900,992,1297,1748,1554,1223,664,0
